num,title,rating(10),review
1,The Wandering Earth (2019),7,"The Wandering Earth is a Chinese science-fiction blockbuster based upon the critically acclaimed novella of the same name by award-winning author Liu Cixin. The movie convinces with stunning visual and sound effects that bring a dystopian world to live. The action sequences are intense. The acting performances are solid enough to make you care about the fates of the characters until the spectacular ending. Imagine a revamped mixture of Armageddon and The Day After Tomorrow with all the contemporary aesthetics and you know what you will get from this film.

The movie tells the story of a dying sun that endangers our planet to a point that it needs to be moved out of the Solar System and to the Alpha Centauri system with giant thrusters running on fusion power. The film follows a family consisting of an experienced grandfather who has worked as a trucker on the planet's frozen surface, an absent father who works as an astronaut on an international space station, a rebellious son who is sick and tired of living in the underground and his naive adopted sister who dreams of discovering the world. The son and his adopted sister try to escape from the underground and are being followed by the grandfather who wants to save them while the father has to make sure the planet's voyage progresses smoothily. As Jupiter's gravity attracts the wandering planet which could lead to a fatal disintegration that would annihilate mankind, the four protagonists are suddenly in the middle of a desperate rescue mission.

The only issue I have with this movie is the story itself. This isn't a science-fiction story because the scientific part is so unrealistic that this can basically be categorized as a fantasy movie. It's hard to fully get into the story and appreciate the film because the plot is nonsensical to a point that it almost becomes ridiculous. That is obviously not exactly the fault of the filmmakers but of the source material and one has to wonder why such an unrealistic novella has achieved so much critical acclaim.

If you are ready to ignore the fact that the plot doesn't make any sense whatsoever, you can appreciate visually stunning popcorn cinema of epic proportions for two entertaining hours. However, the movie is slightly overrated and there are even better contemporary Chinese science-fiction movies like the gripping Reset that recalls elements of the film Looper."
2,The Wandering Earth (2019),7,"In terms of setting, plot and performance, three stars. But special effects industry and theme breakthroughs should be encouraged to add one star more. One by one: 1. Setting, getting sick. Look at the trajectory maps of various satellites. If Jupiter's influence is not clear, would you dare to start wandering and die? I respect your planetary engine and ask you to follow the basic knowledge of exploring the universe. 2. The plot, Dongshi effect. Based on Hollywood's mature commercial film model, the plot is promoted through the sacrifice of several characters. But why do these people do that? In particular, Han Duoduo's cumbersome, from the beginning is a logical black hole, but also gave a sensational speech, how can he? 3. Plain performance. Several starring performances are still on-line, but none of them stand out. 4. Industrialization and special effects are earth-shaking. The film's greatest achievement should be in special effects and film industrialization. For the first time, it shows that China can also have first-class visual effects in Hollywood."
3,The Wandering Earth (2019),9,"Dont think science,just enjoy, this was a fantastic chinese film , though we have seen a lot of it before it is great visual and digital effects and some superb imaginative fantasies, a not to forget, a silent bang in space,heir heir, that never happens in the hollywood space,were it bangs infinity in and out ,vacuum is kabuum anyhow and anywhere in those circuits..

the grumpy old man only regrets that he didnt see this on the large screen. well recommended."
4,The Wandering Earth (2019),10,"The Sun is expanding and threatening to destroy year. The whole world unites to share technology and convert the planet in a slow moving space craft that will took about 2500 to change to another solar system. The trip requires people to live underground; but as you might expect, things do no go as expected and Earth get trapped no Jupiter gravity and the planets are about to collide.

The movie as fair amount of primary, secondary and tertiary characters. All of them has their shinning moments. The situations get more complicated by the minute. In the Chinese tradition, there are some melodramatic moments that slow down the otherwise frenetic pace of the movie. The movie is spectacular in almost every sense. Images, action scenes and production values. Let's hope the rest of the trilogy gets made and we are able to enjoy it."
5,The Wandering Earth (2019),7,"The Wandering Earth' is one of China's first forays into big-budget sci-fi - and it mostly works! The premise of the film hits close to home - severe drought, extreme weather, tsunamis pointing to the extinction of humans. Set in the near future, the more unrealistic part of the plot is that the sun is going to explode and devour the Milky Way, so all the Earth's governments decide to move the planet to another solar system. Pretty far fetched, but they try to stick to some scientific principles, such as oceans freezing, temperatures plummeting, billions dying - but I'm not sure how plausible thousands of giant rocket boosters and underground cities would be. But it is science-FICTION.

While the special effects are good - although still funny to see Earth being driven through space like a spaceship - the film does well to focus on six main characters. These are Liu Qi (Qu), his sister Duoduo (Jaho), their dad Liu Peiqiang (Wu) trapped on the space station, their granddad Han (Ng), captain Lei (Li) and scientist Yiyi (Zhang), as they try to get a replacement engine to one of the rockets on the surface. Some of it is needlessly melodramatic, but in general the balance between humanity and CGI is well done.

It's a nice mix of 'The Day After Tomorrow', '2012' (but better than both) and '2001: A Space Odyssey' - and thankfully much better than 'The Great Wall'. I found the subtitles and action easy to read/follow. Nice score and there's some humour in with the end-of-the-world-ness."
6,The Wandering Earth (2019),8,"Wow, this movie has a brilliant storyline - the sun is dying, and orbit thrusters are being used to push our planet Earth into a new, safe star system. The visual effects in this film are breathtaking and outstanding. The story and screenplay are very well constructed and portrayed on screen.

Best of all, it teaches everyone the important lesson that no matter what the odds are against you, no matter how low the possibility of winning may be, you should not go down without a good fight ; where there is a will, there is a way. Never lose hope, and never give up."
7,The Wandering Earth (2019),3,"I'm a science fiction fan and I was looking forward to seeing what Bug Budget Chinese Sci-Fi looked like. I'm sorry to say I was disappointed. The basic plot was interesting and the graphics weren't bad. Taking into consideration that I saw a subbed version, I still thought the dialogue was pretty weak and there wasn't much characterization at all. Sometimes the characters and the plot just didn't make sense. To me the drama seemed not just forced but coerced.

It reminded me of those old 50's sci-fi movies like When World's Collide or Rocketship XM but without the cheesy charm.

This film just dragged on and on and I'll tell ya, I was not nearly as happy about the Earth being saved as I was that the movie was finally over."
8,The Wandering Earth (2019),1,"nice CGI, bull**** storyline though
A meh scifi from china riddled with bad storyline and subplots. i could not handle the personality of the crew nor the missions."
9,The Wandering Earth (2019),3,"Under the huge, chaotic and rough special effects package, the old-fashioned family and social concept is sold. As a science fiction work, the science aspect is relatively naive; the plot is basically based on incitement. Liu Cixin apparently did not live up to the influence exerted by the Revolutionary opera in childhood."
10,The Wandering Earth (2019),7,"It's such a great concept for a movie and doesn't disappoint. The visuals were impressive even by Hollywood standards, and the action was also pretty good (it's more comparable to Interstellar and The Martian than Armageddon. A good thing). But where The Wandering Earth was really satisfying was the human element. I loved how the resolution of the movie, especially the technology, were grounded in believable science for its world. And i loved that cooperation and human ingenuity were at the core of the resolution. One of the few big sci-fi movies of recent years that managed to successfully balance spectacle, intelligence, and heart. So why didn't i give it a higher mark? I'm not sure...but it's probably because while the visuals were good, they weren't great. And the musical score wasn't especially memorable either. And though i understood the story, the character relationships, the humor, i'm sure that the having to read subtitles took a little away from the experience. But i'm not nitpicking. The Wandering Earth was a terrific movie, well worth the price of admission."
11,The Wandering Earth (2019),8,"If you enjoy cheesy sci-fi disaster movies like ""Armageddon"" and ""San Andreas"" then you'll probably enjoy this, too. *It's recently been announced that Netflix has picked this up, so if you're interested and have no other options then look forward to that in the future!*

Definitely brings epicness to the table, with glamorous shots of destroyed cities, the whole planet zipping through space, and the behemoth Jupiter. If anything, this is worth the price of admission alone. The action and drama is just gravy :) . It also tries to blur the line between selflessness and selfishness, and which would better serve the overall goal of survival of the many versus few.

What brings it down is some of the drama felt too artificial, especially when tied with the annoying characters. There isn't a convincing reason for the son to hate his dad so much, especially after 17 years of time and knowing what's stake. Some scenes also don't make much sense (one of the trivia does shed a little light on a couple things), and though the whole concept is unique, I can't look past the unrealistic science (but that's just me, and didn't impact my rating).

I do hope this movie bears more fruit since the creativity and grand scale is highly refreshing."
