num,title,rating,review
1,"
Suicide Squad (2016)",1,"My god, that was AWFUL. Just random made-for-trailer tiny scenes that add to nothing, have zero depth and don't make up a coherent plot. Wall-to-wall inappropriate songs that come at random times. Boring plot (if you can even call it that), boring and indistinguishable flat characters. Harley Quinn was annoying. Jared Leto did his best as The Joker but had absolutely nothing to work with - he just appears at random times for a few seconds and disappears. There's no depth and no story. If you've seen the trailers, you basically saw all the one-liners and ""money shots"".

If all that isn't enough, the last third of the movie is simply unwatchable.

I don't think David Ayer is a bad director (I liked HARSH TIMES and FURY), but this is definitely his worst movie yet and I'm pretty sure it's due to massive pressure from the producers."
2,"
Suicide Squad (2016)",3,They're the bad guys LOL
3,"
Suicide Squad (2016)",4,Worse than Batman v. Superman
4,"
Suicide Squad (2016)",6,"I think the IMDb user rating of 6.5 perfectly encapsulates what to expect. I use the site mainly to calibrate my expectations before watching a blockbuster or decide to invest my time in giving an indie feature a chance.

Suicide Squad has such star power and superhero connections that I was going to watch it no matter what the user reviews said (I always disregard critic reviews as they rarely are helpful) and feel like many viewers were going to as well.

The movie has cool set pieces, action scenes and fantastic costumes. However, the plot is so muddled and choppy it detracts from the viewing experience. Another weak link is the enemy - no real backstory to draw us in, almost no explanation on what the enemy is building, and almost laughable minions for the ""heroes"" to combat.

There are so many cool characters, I think the movie and plot would have been better served if this had been Part I of a series, rather a stand alone movie.

I read an article that stated David Ayer only had six weeks to put a script together and it unfortunately it shows. I felt like I was watching a long trailer - cool and fun scenes that were disconnected from each other.

I certainly won't say to pass on this, especially comic book fans, but be warned it is a let down. Especially, considering the awesome source material the director had to work with."
5,"
Suicide Squad (2016)",2,What's with these ratings? This is an exasperatingly bad movie
6,"
Suicide Squad (2016)",5,"Is this movie terrible? Absolutely not

Is this movie great? Absolutely not.

I always heard from people that they either HATED or LOVED this movie. And for me it was neither.

The audience for this film is served with a classic action movie/comic book. ""The world is in danger! There must be a solution! Although there are bumps between the characters along the way, eventually, we'll solve the problem""

The interesting twist is *supposed* to be that instead of classic superheroes, we have bad guys. To that I say ""so what?"". The movie didn't really establish why I should care about much of what was going on on screen—it was all just classic popcorn movie action and sequences that were occasionally broken up by half-attempts at character development."
7,"
Suicide Squad (2016)",2,"Great cast, terrible plot, mediocre action scenes and shoddy humor"
8,"
Suicide Squad (2016)",1,"Story line: what story line? - Wasted really good characters. Literally just threw them in this big pile of crap. - Should've just made the movie about the joker and harley quinn. Perhaps a cameo by deadshot instead of this 123min waste of time and money. - Joel Kinnaman... why? seriously, who the hell put this guy in the movie? - clichés. clichés everywhere. - the ending was good. because I finally got to go home, watch netflix and forget about this horrible, horrible thing.


Please, do not watch this movie at the movie theater. Not even at home. Just make a new movie in your head and pretend that this one does not exist. Trust me, whatever you imagine gets an Oscar compared to this thing.

I love movies, and consider myself with a decent amount of knowledge to rate a movie and this, my friends, is a total disappointment."
9,"
Suicide Squad (2016)",3,I am so-so sad :(
10,"
Suicide Squad (2016)",5,It's just a mess
11,"
Suicide Squad (2016)",1,"Apparently it's good to be bad, should be DC's tagline"
12,"
Suicide Squad (2016)",4,Great cast and a big budget couldn't save this from being an inevitable flop by critics. There was just no substance to the story. Cringe-worthy moments. Basically you watch a whole bunch of villain misfits walking down the street having moments with each other while on their little silly quest that brought them somehow together. Nice try DC.
13,"
Suicide Squad (2016)",3,Disappointing and messy :(
14,"
Suicide Squad (2016)",6,"Suicide Squad was a disappointment to me. May be I got hooked on the hype or was expecting too much from WB. This movie had a great concept that we saw on the small screen, both TV series and animated. For some reason, those formats did it better than this theatrical release. 

This movie suffered from all fronts, poor writing which is the number one problem for me. The story was just all over the place with such in coherency, it's visible at every point. Not enough time was spent in developing these characters for their introduction to the big stage. Poor dialogue was another major problem which is just so stupid at some points. 

But Suicide Squad still could have been saved with the main plot and a great villain. Sadly that too was a major problem. The main plot didn't make sense because the movie itself went in so many directions that none of it could have come together and gel.The villain was a total failure. Nothing about this person was intriguing and just falls so flat. Story and main purpose was so awful for a big summer blockbuster. 

This movie probably only had about two things going for it. Majority of the casting was great including Will Smith, Margot Robbie, Viola Davis, Jared Leto, and Jai Courtney. Yes Jai Courtney, I'm shocked too. I really think his role should have been expanded. Notable miscast would be Joel Kinnaman and Cara Delevingne. Joel Kinnaman portrayal of Rick Flag was out of touch of what that character should be and for Enchantress, someone, more older with more acting depth should have been chosen over Cara Delevingne. 

The other thing would be, through and through it's a much better movie than Batman V Superman. I know that's not really helping but still. A weak six stars and a onetime watch."
15,"
Suicide Squad (2016)",1,Why and How is Will Smith the star of this movie?!?!
16,"
Suicide Squad (2016)",1,"OK.So I'm a senior.But I've seen lots of Marvel/DC Comics movies. I really liked Ant Man last year because there was a story to it.Suicide Squad was filmed in my home town, Toronto.There was so much hype.But even my grown son hated it when we saw it.There's no character development. We wasted our money.Don't go to this disaster. You'll regret it no matter your age.During each scene, I was wondering what is happening.Because the lighting was so dark,I couldn't make out the action. There were times I kept asking myself why I had agreed to come to this film. The character,Harley Quinn, had this Brooklyn accent which didn't really fit in. The joker was a joke,not even scary or comical.This was the worst movie I have seen this year."
