num,title,rating(10),review
1,Avengers: Infinity War (2018),10,"This movie is the beginning of the culmination of Marvel's masterfully woven cinematic universe. Beginning back in 2008 with iron man, we are finally seeing the results of all the movies have been pointing to; and it did not disappoint. Thanos is a complex villain, with deeper and more interesting desires than just ""world domination."" The dilemmas all the characters face in this movie (both the heroes and the villains) are truly thought provoking and leave you on the edge of your seat. No other set of movies has beeen so involved, so expanded, and encompassed so many story lines/characters and previous movies. The sheer amount of star power alone in this film is insane; and they do a masterful job of weaving all these unique and various characters into a common storyline."
2,Avengers: Infinity War (2018),10,"This movie will blow your mind and break your heart - and make you desperate to go back for more. Brave, brilliant and better than it has any right to be."
3,Avengers: Infinity War (2018),10,A Summer Film That IS Even Better Than The Hype
4,Avengers: Infinity War (2018),9,"I was amazed to see so many negative reviews; so many people are impossible to please. This movie was 2 1/2 hours long, but I could have sat there another 2 1/2 hours and not noticed. Thoroughly entertaining, and I love how the directors weren't afraid to take chances. I've read a lot of other user reviews that claim that there's no plot. Unless you're mentally handicapped or not paying attention because you're on your phone the entire movie, the plot is pretty clear, and decent in my opinion."
5,Avengers: Infinity War (2018),10,"All the reviews that say this movie has no plot are either trolls, idiots, or didn't are to take the time to watch previous marvel movies. Every single one of those ratings and reviews should be taken down and not added to the rating for Infinity War because of their fundamental lack of understanding. It's like coming in and watching the last 2 minutes of an hour long drama show and saying this episode sucks because it has no plot. It's utterly ridiculous!

There have been 31 marvel movies leading up to this point. All 31 has have some plot that leads to infinity war. Infinity War IS the end game movie. There is nothing left to explain, nothing left to discuss, it is all-out fight for control of the most powerful items in existence, the infinity stones. There have been 31 movies to explain in someway the power of these stones and/or the heroes that come together to fight Thanos in this movie. It's like a long game of chess where Thanos finally makes his move, and it's a huge one.

So I beg of any of you who reads this. Don't listen to anyone who says this movie has no plot, has no reason and is only fighting. They aren't worth listening to, Infinity Wars has roughly 60 hours of plot from 31 precious movies leading up to this monumental fight for life or death, and the movie is done to near perfection. The movie is glorious, the CGI is fantastic, the battles are awe-inspiring, and Thanos is made worth of your fear from the very beginning. He is truly the Mad Titan that captures your heart and crushes it right in front of your eyes. Anyone who doesn't think this clearly didn't see the same movie."
6,Avengers: Infinity War (2018),10,Epic conclusion to Marvel's first 10 years
7,Avengers: Infinity War (2018),9,"I went and looked, and I want to express my thoughts.

I went to this film with very high expectations, with a sense of something. I went to him twice, the first time, myself, and the second with the family, and I was even surprised that my mother, sister and dad (who do not understand this movie at all) brought unreal pleasure and an ocean of emotions.

Each frame, each scene does not let you get bored, from the Marvel logo, and to the stage after the credits. Favorite heroes once again experienced side by side and you feel it, you are completely absorbed in a hurricane of events and you are watching it in one breath. In comparison with the War of Infinity, even the Confrontation looks like an ordinary fight in the sandbox.

Uuuu, and the villain, the best as for me the best in this kirovoveselennoy, he is not just a bot at once, without motivation, no, it's just the opposite. I liked Thanos so much that you do not want to, and he began to impress me, in terms of his convictions (I had it only once, with Joker Heath Ledger). He has feelings, he makes choices, he's alive.

Tense scenes are beautiful, in one moment I still let off a meager male tear (and this happens to me very, very rarely). What about the humor, the jokes are correct for me, and they do not bother you like Thor: Ragnarok, although in the beginning they look a little tight. Well, the action, it is very high-quality, and in comparison with the Black Panther is generally ideal.

And of course the film can not be without punctures. The lack of predictability of some story lines, and a couple of moments that were very predictable, but they are fade against the background of all this scale.

Yes, you will not find anything in this film about something, something, but, what, what, what, steep humor. Thanks to Marvel and of course the Rousseau brothers, the beautiful actors and the wonderful movie that I've been waiting for for 3 years.

Out of 10, I give the War of Infinity 9."
8,Avengers: Infinity War (2018),10,"Engrossing, Epic, Emotional. Those are the three E's that define this movie. The latest instalment of the Marvel Cinematic Universe franchise is at its very best, culminating ten years of marvel adventure and spectacle with the biggest and most boldest movie in the superhero genre. So let's start with Anthony and Joe Russo, the geniuses that made this beast of a movie. After announcing that they will be directing the next two Avengers movies, Marvel fans knew at once that this will be the darkest Avengers movie yet. Yes, it was very dark with more of a serious tone. More than Winter Soldier and Civil War (previous marvel movies directed by the Russo Bothers) combined but they also had what the other Avengers movies had as well, the humour and it was not at all tasteless. Nobody really cared if it was necessary or not because the humour worked along with the edgy parts of the movie. This is by far the Russo brothers best work among the Marvel movies completely raising the bar of superhero movies to it's highest. Praise to Christopher Markus and Stephen McFeely for writing the amazing script (they also wrote the scripts of Captain America, The Avengers, Winter Soldier, Age of Ultron and Civil War also known to be the best marvel movies). Now, the characters and story. Practically everyone that you've seen in the previous marvel movies that aren't dead, are in this movie. Everyone had the chance to shine even if it's the smallest way possible. There were so many character arcs in this movie and none of them were cut short or boring. Every scene is in the movie was worth digesting and deciphering, along with the surprises and the twists and turns that will get audiences on the edge of their seat. Everything from character development to the pacing of the storyline, makes you jump, scream, gasp or cry. And of course, the one and only, Thanos. The villain that has been teased one too many times is finally here and he delivers. Josh Brolin officially portrays the best villain in the MCU, completely pissing on Marvel's villain problem. He brings all out on the table with everything he's got. Not only will you hate Thanos by the end of the movie, but you will understand him and maybe even feel sorry for him for a few seconds. They brought layers into him that no one has seen in a movie portrayal of a Marvel villain. They made him scary and strong at the same time vulnerable and understandable. The motivation of his doing and his character development made him the best character in the movie, making the movie all about him. I cannot tell you anymore about this movie because then I would be spoiling. All I have to say is that whether you're a marvel fan or not, and if you at least know what has been going on in the previous marvel movies, GO AND WATCH IT. It will not be a waste of your time or money. Digest this to prepare for what's to come. 

I may be bias once again but I just have to. I have to rate this movie 10/10. If I don't, I would be betraying myself."
9,Avengers: Infinity War (2018),9,"Well, Well, Well....

I was so ready to tear this down - 19th MCU film, too many stars, bloated CGI, first of a two parter, and so on and so on...

Yet, this is so much fun. Pure popcorn...now in the dictionary under ""popcorn film"" is just the poster for this film. Somehow, the Russo Brothers have juggled all the parts to give everyone some time in the sun. They are helped immensely by two things: the premise is so pure Mcguffin that you just watch Thanos look for Infinity Stones which gives a primal momentum and that the film's stars/characters are looking to move on - that means, actual stakes for once as people could really die and not just comic book dying either.

The DC people must be kicking themselves. The lightness and comedic touches are brilliant. You are laughing out loud, comedy level, but at totally organic character humour. It means you are so entertained throughout its rather long running time.

The other big surprise is Thanos himself. Normally, I hate CGI characters but somehow they have made Thanos and Josh Brolin work enough to give the character an actual arc. This is one of the better MCU villains and I never thought I would write that.

The stakes are real, the charisma levels are amazing, it is like ""Oceans 28"" and I can't wait for the sequel...that says an enormous amount considering the challenges this film faced."
10,Avengers: Infinity War (2018),10,Everything we could've hoped for
