num,title,rating(10),review
1,Harry Potter and the Sorcerer's Stone (2001),9,"The breeze stirred the neatly cut bushes of Tisovaya Street, silently lying under the ink-black sky. Of all the streets in the world, this street was the least suitable for amazing events. Harry Potter turned in his sleep. A small hand groped for it and squeezed the envelope. The boy was asleep ... ""(c)

June 30, 1997 in the light came the debut of the writer Joan Kathleen Rowling. Literally such words began to become great, a series about a small wizard, with a scar on his forehead. The story that absorbed the minds of adolescents around the world, as it was said in the press ""... a book that can tear boys and girls away from TVs and computers, return it to the house from the street ...""

Just imagine...

""A dull, dank, dark night. In the street a storm. The little boy lies on the floor of his ""room"", in a small shack and draws a finger in the sand with an inscription, ""Happy Birthday, Harry!"". The cry of the soul, he knows that no one will congratulate him, no one will affably caress the top of his head. In a minute he will be eleven. Ten seconds ... Nine ... You can wake Dudley - just for laughing ... Three ... Two ... One ... A loud knock at the door, there's no knock, just a crash. There was someone behind the door, and he was obviously going to come in. ""

I think anyone will guess what happened next. Good-natured giant Hagrid, told Harry the striking news that he is not just a boy with a scar on his forehead, but a real magician.

A short word about the actors.

Harry

What to say, there would not be Harry James Potter, there would not be the book itself. Whatever happens in the books, I was always entirely for his character. In the first part, he's just small, you can even tell a confused boy. All situations, difficult fights, intricate situations, are still ahead. Now he just scooped up this great knowledge - magic. The first real home, first friends, first classes, the first meeting with this evil, he is experiencing all this in the first part. Hermione

Hermione Jane Granger is my favorite female character in the book and film. In it, I see a part of myself. Hermione loves to learn and she pays a lot of time. Sometimes she is too arrogant and excessively proud of her success in her studies. Born of a muggle, so often heard the offensive word ""Mudblood"" in her address. Hermione is just a smart girl, how many times she has yet to pull friends out of difficult situations.

Ron

Ronald Bilius Weasley. Redhead. Already this word can give some characteristic. Ron is the sixth child in a wealthy family of hereditary magicians. Always the elders took on everything superior to Ron, be it study, sport, or female attention. Arriving at Hogwarts, gets to know Harry, the same situation is repeated as with the brothers, but he reconciles with his second plan. Whatever it is, he remains the best friend of Harry and Hermione.

I wanted to say that the whole trio was exactly the same as it was represented by millions of readers in the world. Actors took absolutely unknown, but this film made them real little stars.

The movie has good enough, more famous actors, the same Maggie Smith, Alan Rickman, Robbie Coltrane, Julie Walters and the inimitable Richard Harris. His death was just a blow to all the fans, his Dumbledore seemed to come off the pages of the book, the same wise look from under the half-glasses, gray hair and beard, hooked nose. He inspired a kind of majestic calmness, every appearance on the screen calming. By the way, I do not consider Michael Gambon a good Dumbledore, he turned out to be some kind of crazy, but this is not on this topic. It is quite possible to write now a complete retelling of the book / movie, but you know, absolutely do not want to. Joan Rowling created an amazing, magical world, thanks to her, millions of boys and girls began to look for a scar on their foreheads and with impatience and hope to wait for their 11th birthday. And I'm certainly happy about how Chris Columbus embodied this idea on the screen, the fairy tale turned out to be absolutely childish, very bright, joyful and for some reason the word Christmas comes to mind, although there is not so much Christmas there.

Children's dream came true. Harry found his friends, his family, found loyal defenders, but he does not even suspect what he will have in the future. However, it will not be soon, but now enjoy watching!

Dedicated to: all those who are ready to go with Harry to the end."
2,Harry Potter and the Sorcerer's Stone (2001),10,"Once upon a time (and not that long ago), in the vivid, fertile imagination of author J.K. Rowling, a character was born: A boy. A young boy named Harry, who was destined to become one of the most beloved characters to emerge from a work of fiction in a long, long time, and was quickly embraced by young and old alike in all corners of the world. And now, thanks to the magic of the cinema, Harry and his companions fairly leap from the pages of the novel to the silver screen in the phenomenal motion picture, `Harry Potter and the Sorcerer's Stone,' directed by Chris Columbus and written for the screen by Steve Kloves. Indeed, Harry Potter is a boy, but not just any boy; because Harry (Daniel Radcliffe) just happens to be a wizard. But, orphaned as a baby, Harry has been raised by his Aunt Petunia (Fiona Shaw) and Uncle Vernon Dursley (Richard Griffiths), who never let him in on the fact that he was, well-- what he was. It seems that Petunia didn't approve of her own sister-- Harry's mother-- because she was a witch; nor of Harry's father because he, too, was a wizard. When Harry turns eleven, however, the secret is out of the bag when-- after some strange goings-on-- a giant of a man named Rubeus Hagrid (Robbie Coltrane) shows up at the Dursley's door to collect Harry and take him off to `Hogwarts,' a school for wizards and witches and all who would perfect the gift with which they were born: The gift of magic! And from the moment Harry boards the train (from station platform nine-and-three-quarters) that will take him to his destiny, the magic is alive-- for Harry, and for the audience, as well; and it's a journey you will never forget.

What a monumental undertaking to even think of attempting-- translating and transferring this passionately beloved work from novel to the screen. Because to millions of people, Harry and his companions are so much more than merely characters in a book; these are characters for whom people have made a special place in their hearts, which puts a great burden of trust upon the man who would attempt to bring them to life. And Chris Columbus, it turns out, was the right man for the job. More than rising to the occasion and with some magic of his own-- and a lot of help from an extraordinarily talented cast and crew-- Columbus has delivered a film that is not only true to the story, but true to the very spirit that makes Harry Potter so special. The special effects are absolutely beyond astounding, and Columbus, with a keen eye for detail and without missing a beat, keeps it all on track and moving right along at a pace and with a sense of timing that makes this an absorbing, thoroughly entertaining and enjoyable experience from beginning to end. From the opening frame you get the feeling that you're about to have a singular experience; and you're right. Because you've just entered the world of Harry Potter. And it's magic.

Even having the best special effects do not a great movie make, however, and this film is no exception; what catapults this one to the top are the performances, beginning with Radcliffe, whom you quickly forget is an actor playing a part. And that about sums up what kind of a job this young man does here. Without question, he IS Harry Potter, physically and emotionally, and when he waves his wand and does what he does, you believe it. A wonderful performance by a gifted actor who has a great career ahead of him; without question the perfect choice for the role of Harry.

Also turning in excellent performances are Rupert Grint as Ron Weasley, and Emma Watson as Hermione. As with Radcliffe, the casting here could not have been more perfect. Grint is `Everyboy,' with that special glint in his eye and a manner that makes him especially endearing. And the spunky Watson adds some real sparkle to the film as Hermione, the one with the sense of urgency and the wherewithal to get things done; a real role model for young girls everywhere.

It's obvious that a lot of care went into the casting of this film, and it's a big part of why it is so successful. Richard Harris, as Headmaster Albus Dumbledore; Maggie Smith as Professor McGonagall; John Hurt as Mr. Ollivander; Ian Hart as Professor Quirrell. Exceptional performances from one and all, with two that stand out as especially memorable: Robbie Coltrane, who readily conveys the fact that Hagrid's heart is of a size that matches that of the man; and Alan Rickman, as Professor Severus Snape, deliciously droll while demonstrating menace through the fine art of articulation. 

The additional supporting cast includes John Cleese (Nearly Headless Nick), Warwick Davis (Professor Flitwick), Julie Walters (Mrs. Weasley), Zoe Wanamaker (Madame Hooch), Tom Felton (Draco Malfoy), Harry Melling (Dudley) and David Bradley (Filch). From Rowling's imagination to the written page to real life (albeit via the movie screen), `Harry Potter and the Sorcerer's Stone' is a triumph many times over; a unique film of truly universal appeal, the likes of which is as rare as, well-- a sorcerer's stone. A film in which adults and children alike will rejoice, because it speaks to the heart in a universal language of life, love, experience and imagination; a film that states unequivocally that magic exists-- as long as there's a single child with a single dream somewhere in the world, and real wizards like J.K. Rowling, Chris Columbus, Steve Kloves and every member of this wonderful cast and crew around to bring it to life as they have here. An instant classic in every sense of the word, this is truly a film for the ages. A remarkable achievement, this IS the magic of the movies. I rate this one 10/10."
3,Harry Potter and the Sorcerer's Stone (2001),7,"I enjoyed this movie immensely. But, like ""The Phantom Menace,"" I've had a very hard time viewing it objectively. There was so much anticipation leading up to its release, I simply enjoyed the experience of being there. Having read all four books in the series a few times each, I am overly familiar with the events in the story. As I watched the movie, my continuing thought was ""How well will the next part of the story be translated to the screen?"" rather than ""How entertaining is this film overall?"" I have trouble answering the latter question because I was already entertained by watching a wonderful story dramatized, so I'll never know how I'd have reacted had I seen this movie without having read the books.

Critics talk about how incredibly faithful the movie is to the book, and perhaps I'd have had an easier time detaching the two in my mind had the movie set off on its own course. Indeed, many classic children's movies, like ""The Wizard of Oz"" and ""Mary Poppins,"" are so successful partly because they're so different from the books that inspired them. But these are exceptions; in my experience, most children's movies reveal their weaknesses in how they diverge from the books upon which they're based. And much of what makes the Harry Potter phenomenon unique is that it is the first time in ages that a children's book, without a movie accompanying it, has generated this much popularity. According to an article I read a year ago, the universe of Harry Potter has become as real in the minds of youngsters and adults as that of a popular movie series like Star Wars. Therefore, it will be very hard for any film based upon it to compete with it. In the minds of die-hard fans, any changes made to the story will be seen as desecrating the fantasy world that Rowling created. That's why it's easy to understand why the filmmakers were so reluctant to change anything.

As a faithful rendering of the book squeezed into a two-and-a-half hour period, the movie is beautifully done. I don't have a single complaint about any of the actors, who successfully bring to life, with the aid of costume design and special effects, the many colorful characters from the book. My favorite character, the giant Hagrid, is played by Robbie Coltrane, and I say with no exaggeration that he is exactly how I imagined him while reading the book. It's as if they took the image in my mind and transferred it to the screen. While I had my own personal image of Snape (for some reason, I always imagined him as the head villain from another Chris Columbus film, ""Adventures in Babysitting""), Alan Rickman is perfect in the role. I usually expect to have words of criticism for some performances, but I just don't. The remaining adult actors, including Maggie Smith as Professor McGonagall and Richard Harris as Albus Dumbledore, are as good as they possibly could be, and the kids do an excellent job of holding their own against these veterans. Some have criticized Daniel Radcliffe for appearing too subdued in the title role, but that's exactly how the character is portrayed in the book: modest, unassuming, and laid-back. The kids who play Harry's two best friends are flawless.

I had a lot of worries about the fact that it was being directed by Chris Columbus, whose entire directorial career so far has consisted of over-the-top slapstick films. I was pleasantly surprised that he did not direct the Harry Potter film in this way. Except for brief moments like the children's delayed reaction to a giant three-headed dog they encounter and Harry's swallowing the quaffle ball, there is nothing here to remind us that this film is directed by the same person who gave us films like ""Home Alone"" and ""Mrs. Doubtfire."" Indeed, I think Columbus may have gone just a tad bit too far in trying not to make the film seem cartoony. I would have liked to see a little more emotion on the actors' faces at certain times. Overall, however, his restraint works nicely in giving the film the kind of believability the book possesses.

But much is left out. Harry's caretaker Uncle Vernon, a prominent character in the book, is given less attention in the movie than some of the bit characters. The gently satirical aspects of Hogwarts School aren't in the movie at all. We never see the ghostly history teacher who died several years back but kept on teaching. Lines like the following--""Professor McGonagall watched [her students] turn a mouse into a snuffbox--points were given for how pretty the snuffbox was, but taken away if it had whiskers""--find no equivalent in the movie. The movie does include platform nine-and-three-quarters, though the way the kids disappear into the wall isn't as mysterious as I had visualized, and the sorting hat is there, minus the great poem explaining the differences between the four schools.

Not that I'm blaming the movie for omitting some details. Some things from the book would not have translated easily to the screen, and it would have been very difficult to stick everything in. Had Columbus done so and allowed the film to be as long as necessary (eight hours, maybe?), like a BBC miniseries, the film might have been a masterpiece, but few kids would ever have had the patience or attention span to sit through it.

The problem is that the amusing details are much of what make Harry Potter such a special story. A whole universe is created in Rowling's series, in which a magical society exists within our own ordinary ""muggle"" world and is kept secret by a bureaucracy with its own rules, history and politics. The way magic is treated in her books, not as something medieval but as very similar to the way our own contemporary world works, is a large part of their charm. Take away these details, and you're left with a fairly conventional tale of a young wizard fighting an evil sorcerer.

Although the audience I was with broke into applause as soon as the movie ended (something I've never seen happen before, though I don't go to the theater that often), some people have complained about the movie dragging at certain points. I didn't have that problem, but, as I said, I wasn't really trying to get involved in the movie's story. After thinking about it, it does seem like parts of the movie fail to convey a sense of urgency. Why should this be? I never felt that way when reading the books, and this is without a doubt the very same story.

The answer, I think, is that the books portray much of Harry's anxiety in trying to succeed in school (for if he's kicked out, he'll go straight back to his horrible uncle) and fit in with the kids there. The movie doesn't tap into these anxieties enough, so why should we care whether he wins the Quidditch match (other than that he survives in one piece) and gets through the school year? The only real suspense in the movie after he arrives at Hogwarts comes from the story of Lord Voldemort returning, which in the book is almost secondary. Harry's adventures getting along in the school are fun and interesting, but as they are presented to us in the film, there isn't enough tying them all together.

What we have here is a serviceable dramatization of a wonderful children's series, but it doesn't entirely succeed in standing on its own. Perhaps it should have diverged from the book just a little, to compensate for the difficulties in translating some of the book's delights to the screen. In its current form, it's almost like a preview of the book. Its lack of fullness, and its dependence on the book, might actually increase the popularity and endurance of Rowling's series by making those who see the film yearn for more, which they can get from the real thing."
4,Harry Potter and the Sorcerer's Stone (2001),8,"We live in a world where economics is hard. This forces practical limitations when making a movie. Time and money are sadly finite, cinema owners need to be pleased as well as fans and computer animation ain't perfect. Given these limitations, this film is about as close to human perfection as it is possible to achieve. However, it's extremely clear what an immense challenge it is to turn Philosopher's Stone from book to film.

Two and a half hours is not long to explore a wonderful, magical world. Furthermore, the directors have bowed to the inevitable temptation to show us things that cannot be communicated so effectively in a book. The consequence is the feeling of a slightly breathless sprint in places.

It also means that the movie has to stay true to the spirit of the book rather than to the letter of it. There are omissions and there are changes. The changes that were made capture and maintain the spirit of the story really well; indeed, there are places where the story is more clearly and straightforwardly told in the movie than in the book. Some aspects of the story are fleshed out on screen and the additions are delightful, completely in keeping with the flavour of the world.

The humour of the movie is inevitably more visual than that of the book; no belly laughs, but a lot of smiles. Some punchlines have changed, but the reasons why the jokes are funny remain the same. Not knowing exactly what's coming next is a good thing! It's all kept tasteful, classy and above the belt; there's nothing to cringe about.

The voice acting is almost uniformly brilliant. However, there are occasions where some of the actors are required to convey high emotions and are only given a second or two of face shot, or head-and-shoulders shot, to do so. This isn't as much freedom as they need and they fall a little short. The blame here must fall on the decision to give the actors too much to do too quickly, not on the actors themselves.

Other than these rare jarring instances, the physical acting is frequently excellent and seldom less than completely adequate, judged against the highest of targets set by the book's clear emotion descriptions.

Dan Radcliffe has the look, the mannerisms and the charm of Harry down pat. His strongest expressions are the bemusement that must be inherent at entering a world where science does not rule alone and the bravery that Harry shows in his achievements. Emma Watson possibly slightly overplays Hermione, but does so in a fully endearing fashion. There's one scene which gives her too little chance to truly express panic; otherwise her performance needs no changes.

Rupert Grint has comic timing way beyond his years, hitting Ron's lines perfectly. Tom Felton makes a stylish Draco; Matt Lewis' Neville character suffers from the acceleration, so the finale does come as a slight characterisation shock.

The Phelps brothers' Fred and George are distinctively cheeky rather than proactive pranksters; Chris Rankin imbues Percy with genuine authority. Sean Biggerstaff shines; his Oliver Wood is likeable and an ideal Quidditch team captain.

Robbie Coltrane's Hagrid is the single dominant adult character, with maximum laughs extracted at every step. The movie changes strongly exaggerate one side of Hagrid's nature, though; probably inevitable considering how much plot exposition his character has.

David Bradley has a vicious Argus Filch; John Hurt's Ollivander is an eccentric treat, giving a wonderful introduction to the Wizarding World. The professors are uniformly excellent, though Richard Harris' Dumbledore comes off as disappointingly flat until the end.

The most ambitious point of the movie is the computer generated imagery. The stills are wonderful, but the fastest animation is restricted by the limitations of real-world technology. The book makes extremely stringent demands of the CGI; sometimes their overall effect in the movie is merely good rather than insanely great. Some of the magic spells and effects look awesome; others don't capture the imagination nearly so much.

The world cannot yet completely convincingly animate human beings doing inhuman things, which serves as a clear reminder that you need fictional magic to make the impossible possible. The Quidditch scene is the most demanding of them all; while the sequence is action-packed and good-looking, disappointingly, it's not a total success. Perhaps some of the scenes would have been better with more conventional special effects? (For instance, the lower-tech-looking Sorting Hat scene is one of the most delightful of them all.)

The set looks gorgeous. However, it may not stand up to detailed analysis. It's fairly obvious that things are shot in many disparate locations, rather than one big Hogwarts School near Hogsmeade.

The score is absolutely wonderful. The soundtrack may rely too heavily on The Famous Bit, but it's clear that the balance and mixture of things in the finished movie are exactly right.

The feel of the whole movie is everything fans could have hoped for. The dialogue is intensely measured, the colouring is suitably epic, the selection of what to leave in is really tightly considered. You get chills in your spine at the right places; you feel the triumphs as all-encompassing endorphin highs. It's clear that the production have thought long, hard and lovingly. They are true fans of the story, they are the right people for the job, it all bodes very well for the second film.

So it could never have been the film that the hyper-literalists were hoping for, then, but it is as good as the practicalities of the real world could possibly permit. Don't expect miracles and you'll love it. I look forward to watching it again and again.

8/10 at the very least. A really satisfactory film!"
5,Harry Potter and the Sorcerer's Stone (2001),10,"This movie is a delight for those of all ages.

I have seen it several times and each time I am enchanted by the characters and magic.

The cast is outstanding, the special effects delightful, everything most believable.

You have young Harry, a mistreated youth who is ""Just Harry"" to himself. And then, he embarks on a most beautiful adventure to the Hogwarts school.

He meets Ron and Hermione, one an adorable mischief maker, the other a very tense and studious young lady.

Together, the trio try to set things right in the school.

It's the ultimate fantasy for young and old."
6,Harry Potter and the Sorcerer's Stone (2001),10,"When I knew the film was being made, I thought how could they make a film that would be up to the standard of such a perfect book. But they did! Sure they missed bits out but they captured the essence of the book brilliantly. One member of the cast was mis-cast for me but my children disagreed.I even found myself believing they were flying and not wondering ""how are they doing that?"" So 10 out 10 Warner Brothers. Bring on the next one!"
7,Harry Potter and the Sorcerer's Stone (2001),8,"Having read the first few Harry Potter books before 2001 and hearing about the hype for the first movie, I was excited. I heard there was going to be an all-British cast (which makes sense, right?) and we'd get to see a live version of one of the defining novels of our generation. From what I remember I went with my family and a family friend to see the movie the day after Christmas and was pleasantly amazed. After the movie was over, I watched the credits and discovered some familiar names (the late Alan Rickman, Sister Act's Maggie Smith, James Bond 007's Robbie Coltrane, and Star Wars' Warwick Davis); others not so familiar (the kids, some of whom had their debut). But it was a good movie and was a party of colors and sights for all to see. This is easily my favorite of all the Harry Potter films. The catalyst of the movie series!"
8,Harry Potter and the Sorcerer's Stone (2001),7,"HARRY POTTER / (2001) *** (out of four)

Here's a method of evaluating a movie based on previously published material: ask yourself if the film makes you want to read the material from which it is based? 

Before the release of ""Harry Potter and the Sorcerer's Stone,"" I was one of the few remaining souls who had not read J.K. Rowling's fantasy book series. After screening the first film installment, I did want to read the book. Borrowing the novel from a family member, I briefly skimmed over the chapters. The book's intelligence and similarities with the film really surprised me. 

With over 100 million copies sold in over 46 different languages, J.K. Rowling's best-selling series of books has become a worldwide phenomenon. Naturally, with soaring expectations abound, the filmmakers felt great pressure to create a faithful adaptation. They have. This film is essentially a visualization of the words in the novel, with very few differences. 

That said, the film does run into a few conflicts with the book's story. The middle of the movie has nowhere to go. It's like a false second act; almost nothing of major significance occurs in this period of the film. The young characters wander from scene to scene with nothing much to do and nothing much to say. We're left with a grand display of eye-popping special effects.

""Harry Potter"" certainly dazzles us with a solid beginning and an engaging final act, however. We first meet a young wizard boy named Harry Potter (Daniel Radcliffe). Soon after the film opens, the boy discovers he has magical powers. He's then thrust into an enchanting world of sorcery, magic, and witchcraft. He's sent to a school for young wizard children, where he meets new friends, learns about magic, and participates in fun competitions. But someone at the school doesn't like Harry, as mysterious events begin to occur. Harry soon finds himself in the middle of a diabolical scheme of revenge. Who is the culprit and what do they want with Harry?

The film asks some involving questions. Too bad it doesn't give enough depth to the side characters or subplots. We don't really care about the mystery because we don't know enough about the suspects. The movie does conclude with a twist, but it doesn't encourage another examination of the movie. It lacks a foundation altogether. The story spends so much time foreshadowing the villain's identity, it is pointless for the story to abandon its proceeding plot points and develop a new villain at the end. The book gets away with this; the movie does not. 

After his gentle ""Home Alone"" and sweet-natured ""Stepmom,"" many questioned the ability of director Chris Columbus to bring a sense of darkness to the story-and for good reason. ""Harry Potter"" contains charming, likable characters and a rich pallet of lush, inventive images. Unfortunately, the film lacks an edge. It's missing the dark atmosphere Rowling's novel so vividly brought to life. Columbus does construct some memorable sequences, but the individual scenes themselves are much better than the movie as a whole.

Despite it's childish story and pre-teen characters, many define ""Harry Potter"" as a film for all ages. While that's debatable, during my screening, adults were plowing through the isles every five minutes. Going to the bathroom? Getting drink refills? Buying concessions? Who knows? But not a single child budged from their seat. Their eyes were glued to the big screen. 

Conclusion: It's a sure-fire experience for children, especially if they've read the books. But adults may not encounter the same enticement as kids. Then again, if I had nothing better to do than to count the people leaving the theater, why am I recommending the film?"
9,Harry Potter and the Sorcerer's Stone (2001),8,"There is a major difference between reviews here and this is very easy to explain. Anybody who (like me) has read the books multiple times, knowing the slightest details and loving absolutely everything from the series, can´t be completely happy with the film. For the neutral watcher who read the books maybe once or not even at all this movie must seem like a really entertaining and well directed film. The problem is that though very good acting, especially Alan Rickman as Snape, a beautiful scenery and very good camera work, the most important essentials of the books are pretty much non-existing. For instance, I, as an hardcore fan since the first time reading the books when i was 9, was always extremely interested in reading a passage of a normal school lesson or a normal day at any job of an fully educated wizard, eg in the ministry of magic. Rowling made us have the desire to always experience more of the universe she created. I was always amazed by the lightness and uncomplicated way of Rowlings writing, how she managed to let us accompany Harry in his daily life, making the actually extremely strange and funny way of the magicians life seem so normal and casual for the readers. The film on the other hand is more of a build-up to Harry´s first encounter with Voldemort, a scene that´s perfectly directed with impressive effects and good filming, which is definitely the highlight of as well film and book, with the difference that the book is more focused in describing Harry´s adventrous first year as a whole. The film is a little bit inconsistent in terms of how close it sticks to the book´s plot and this is another problem. Because of the book being so comprehensive and full it is nearly impossible not to skip any sections of the book. In my opinion the screenwriter should have either sticked closer to the book or distanced the filmplot more from it. Another thing i miss is the great dry humour the book is spiced with in a lot of ways. The problem is that this can´t really be translated in the movie because it´s often in the way Rowling describes things and not only in the dialogues. One thing that is awesome is the music. In my opinion John Williams is the best film music composer and the way he captures the mysterious and thrilling atmosphere and the majesty and greatness of Hogwarts is marvelous. At the end I can say that the film can meet the expectations but it´s just not possible to convince a haerdore fan completely, just because while reading the book, everybody creates his own picture of Hogwarts, the characters and the scenery. This is called imagination, it is the best part of reading a book, not possible to be translated completetly satisfyingly into a movie and the reason to my big recommandation concerning Harry Potter and also every other book which is filmed. Read the book first! If you watch the film first and read the books afterwards you´ll miss a great time imagining everything for yourself. And this will come espescially pronounced in the books of Harry Potter."
10,Harry Potter and the Sorcerer's Stone (2001),8,Fun and exiting!
